Text,Label
"Get a special discount on your next purchase!",1
"Meeting rescheduled to 2 PM in the conference room.",0
"Congratulations! You've won a prize.",1
"Reminder: Dentist appointment tomorrow at 10 AM.",0
"Limited-time offer: Buy one, get one free!",1
"Click here to claim your reward.",1
"Review the attached document for important information.",0
"Special announcement: New product launch event.",0
"Your package has been delivered. Track your order here.",0
"Exclusive offer: Join our loyalty program for extra benefits.",1
"Important update: Changes to our privacy policy.",0
"Thank you for your purchase. Enjoy your new product!",0
"Claim your free trial of the latest software.",1
"Flash sale alert! Prices slashed for the next 24 hours.",1
"Newsletter: Stay informed about upcoming events and promotions.",0
"Security alert: Unusual activity detected on your account.",1
"Exclusive access: Be the first to try our new product.",1
"Your order is on its way. Track the shipment here.",0
"Upgrade to premium for an ad-free experience.",1
"Your account has been credited with bonus points.",0
"Urgent: Reactivate your account now to avoid suspension.",1
"Join us for a free webinar on the latest industry trends.",0
"Unlock the secrets to a healthier lifestyle. Subscribe now!",1
"Your subscription has expired. Renew now for exclusive benefits.",1
"Invitation: Annual company picnic this Saturday.",0
"Special discount for our valued customers. Don't miss out!",1
"Newsletter: Read the latest articles from our blog.",0
"Biggest clearance sale ever! Save up to 70%.",1
"Your account has been temporarily suspended. Verify your identity.",1
"Claim your reward: You've earned bonus points.",0
"Thank you for signing up. Enjoy your free trial.",0
"Join us for the grand opening of our new store.",0
"Secure your account: Update your password now.",1
"Exclusive early access to our Black Friday deals.",1
"Important notice: Your account balance is low.",1
"Don't miss out on the biggest event of the year. Reserve your spot now.",1
"Upgrade to premium for extra perks and benefits.",1
"Your appointment with the financial advisor is tomorrow at 3 PM.",0
"Final reminder: Your payment is due tomorrow.",1
"Unlock a world of possibilities with our premium subscription.",1
"Exclusive preview: Sneak peek into our upcoming collection.",1
"Claim your prize: You've won a weekend getaway.",0
"Newsletter: Stay connected with the latest industry trends.",0
"Urgent: Immediate action required to prevent account closure.",1
"Limited-time offer: Buy one, get one 50% off.",1
"Upgrade to VIP status for extra perks and benefits.",1
"Your appointment with the financial advisor is tomorrow at 3 PM.",0
"Special offer for our email subscribers. Use code SUBSCRIBE10.",1
"Unlock premium content with our upgraded membership plan.",1
"Thank you for subscribing to our newsletter. Enjoy exclusive updates.",0
"Flash sale alert! Prices slashed for the next 24 hours.",1
"Your account has been upgraded to premium. Enjoy enhanced features.",0
"Exclusive deal: Buy now and receive a free gift with your purchase.",1
"Claim your discount: Use code SAVE20 at checkout.",1
"Newsletter: Recap of the month's top stories and highlights.",0
"Join us for our annual charity event this weekend.",0
"Upgrade to our platinum membership for VIP treatment.",1
"Important notice: Your account password has been reset.",1
"Thank you for your loyalty. Enjoy a special discount on your next purchase.",0
"Get a special discount on your next purchase!",1
"Meeting rescheduled to 2 PM in the conference room.",0
"Congratulations! You've won a prize.",1
"Reminder: Dentist appointment tomorrow at 10 AM.",0
"Limited-time offer: Buy one, get one free!",1
"Click here to claim your reward.",1
"Review the attached document for important information.",0
"Special announcement: New product launch event.",0
"Your package has been delivered. Track your order here.",0
"Exclusive offer: Join our loyalty program for extra benefits.",1
"Important update: Changes to our privacy policy.",0
"Thank you for your purchase. Enjoy your new product!",0
"Claim your free trial of the latest software.",1
"Flash sale alert! Prices slashed for the next 24 hours.",1
"Newsletter: Stay informed about upcoming events and promotions.",0
"Security alert: Unusual activity detected on your account.",1
"Exclusive access: Be the first to try our new product.",1
"Your order is on its way. Track the shipment here.",0
"Upgrade to premium for an ad-free experience.",1
"Your account has been credited with bonus points.",0
"Urgent: Reactivate your account now to avoid suspension.",1
"Join us for a free webinar on the latest industry trends.",0
"Unlock the secrets to a healthier lifestyle. Subscribe now!",1
"Your subscription has expired. Renew now for exclusive benefits.",1
"Invitation: Annual company picnic this Saturday.",0
"Special discount for our valued customers. Don't miss out!",1
"Newsletter: Read the latest articles from our blog.",0
"Biggest clearance sale ever! Save up to 70%.",1
"Your account has been temporarily suspended. Verify your identity.",1
"Claim your reward: You've earned bonus points.",0
"Thank you for signing up. Enjoy your free trial.",0
"Join us for the grand opening of our new store.",0
"Secure your account: Update your password now.",1
"Exclusive early access to our Black Friday deals.",1
"Important notice: Your account balance is low.",1
"Don't miss out on the biggest event of the year. Reserve your spot now.",1
"Upgrade to premium for extra perks and benefits.",1
"Your appointment with the financial advisor is tomorrow at 3 PM.",0
"Final reminder: Your payment is due tomorrow.",1
"Unlock a world of possibilities with our premium subscription.",1
"Exclusive preview: Sneak peek into our upcoming collection.",1
"Claim your prize: You've won a weekend getaway.",0

